,index,chatbot,user,dataset,date_today,id
0,0,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-19"">5 weeks ago</TIMEX3>.",train,2025-06-28,0
1,1,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-03"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,1
2,2,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-02"">8 weeks ago</TIMEX3>.",train,2025-06-28,2
3,3,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-08"">7 weeks ago</TIMEX3>.",train,2025-06-28,3
4,4,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-14"">I planted them 2 months ago</TIMEX3>.",valid,2025-06-28,4
5,5,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-02"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,5
6,6,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-20"">5 weeks ago</TIMEX3>.",train,2025-06-28,6
7,7,Which potato variety do you plant?,I plant <POTATO>German Butterball</POTATO>.,train,2025-06-28,7
8,8,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-09"">I planted them 3 months ago</TIMEX3>.",test,2025-06-28,8
9,9,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-30"">4 weeks ago</TIMEX3>.",train,2025-06-28,9
10,10,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-30"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,10
11,11,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,train,2025-06-28,11
12,12,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-03"">3 weeks ago</TIMEX3>.",train,2025-06-28,12
13,13,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,test,2025-06-28,13
