chatbot,user
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-19"">I planted them 3 months ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>Rose Finn Apple</POTATO>.
Where is your farm located?,In <LOCATION>Huye</LOCATION>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-09"">I planted them 3 months ago</TIMEX3>."
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-08"">I planted them 3 months ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-24"">5 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-14"">2 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-24"">5 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-16"">6 weeks ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-04"">3 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-11"">2 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-04"">3 weeks ago</TIMEX3>."
Where is your farm located?,In <LOCATION>Gicumbi</LOCATION>.
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-01"">8 weeks ago</TIMEX3>."
Where is your farm located?,In <LOCATION>Nyamagabe</LOCATION>.
Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.
Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-15"">I planted them 2 months ago</TIMEX3>."
Where is your farm located?,In <LOCATION>Huye</LOCATION>.
Which potato variety do you plant?,I plant <POTATO>Rose Finn Apple</POTATO>.
Where is your farm located?,In <LOCATION>Burera</LOCATION>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-24"">I planted them 3 months ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-22"">5 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-04-30"">8 weeks ago</TIMEX3>."
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-14"">I planted them 3 months ago</TIMEX3>."
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-06"">I planted them 2 months ago</TIMEX3>."
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-02"">I planted them 3 months ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-04"">7 weeks ago</TIMEX3>."
When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-02"">3 weeks ago</TIMEX3>."
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-05"">I planted them 2 months ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>Rose Finn Apple</POTATO>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-14"">I planted them 3 months ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.
Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-23"">I planted them 2 months ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.
Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-12"">I planted them 2 months ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-10"">I planted them 3 months ago</TIMEX3>."
Where is your farm located?,In <LOCATION>Karongi</LOCATION>.
Which potato variety do you plant?,I plant <POTATO>Rose Finn Apple</POTATO>.
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-07"">I planted them 3 months ago</TIMEX3>."
When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-05"">I planted them 3 months ago</TIMEX3>."
Which potato variety do you plant?,I plant <POTATO>Austrian Crescent</POTATO>.
