sentence_id,words,labels,dataset
0,We,O,train
0,are,O,train
0,leaving,O,train
0,for,O,train
0,vacation,O,train
0,on,O,train
0,July,B-DATE,train
0,5th,I-DATE,train
0,.,O,train
1,The,O,train
1,seminar,O,train
1,was,O,train
1,held,O,train
1,on,O,train
1,June,B-DATE,train
1,15th,I-DATE,train
1,.,O,train
2,She,O,train
2,will,O,train
2,submit,O,train
2,the,O,train
2,report,O,train
2,by,O,train
2,Monday,B-DATE,train
2,.,O,train
3,I,O,train
3,was,O,train
3,born,O,train
3,on,O,train
3,February,B-DATE,train
3,"14,",I-DATE,train
3,1990,I-DATE,train
3,.,O,train
4,They,O,train
4,got,O,train
4,married,O,train
4,in,O,train
4,September,B-DATE,train
4,2010,I-DATE,train
4,.,O,train
5,Our,O,train
5,next,O,train
5,meeting,O,train
5,is,O,train
5,scheduled,O,train
5,for,O,train
5,Thursday,B-DATE,train
5,.,O,train
6,The,O,train
6,contract,O,train
6,ends,O,train
6,on,O,train
6,December,B-DATE,train
6,"31st,",I-DATE,train
6,2025,I-DATE,train
6,.,O,train
7,He,O,valid
7,arrived,O,valid
7,two,O,valid
7,days,O,valid
7,before,O,valid
7,today,B-DATE,valid
7,.,O,valid
8,She,O,test
8,will,O,test
8,return,O,test
8,on,O,test
8,July,B-DATE,test
8,10th,I-DATE,test
8,.,O,test
9,The,O,train
9,training,O,train
9,session,O,train
9,starts,O,train
9,next,O,train
9,Tuesday,B-DATE,train
9,.,O,train
10,I,O,train
10,graduated,O,train
10,in,O,train
10,2015,B-DATE,train
10,.,O,train
11,We,O,train
11,launched,O,train
11,the,O,train
11,app,O,train
11,in,O,train
11,November,B-DATE,train
11,2024,I-DATE,train
11,.,O,train
12,The,O,train
12,last,O,train
12,update,O,train
12,was,O,train
12,pushed,O,train
12,on,O,train
12,June,B-DATE,train
12,20th,I-DATE,train
12,.,O,train
13,She,O,test
13,is,O,test
13,planning,O,test
13,a,O,test
13,party,O,test
13,for,O,test
13,next,B-DATE,test
13,Sunday,I-DATE,test
13,.,O,test
14,He,O,train
14,will,O,train
14,travel,O,train
14,abroad,O,train
14,in,O,train
14,August,B-DATE,train
14,.,O,train
15,Their,O,train
15,anniversary,O,train
15,is,O,train
15,July,B-DATE,train
15,14th,I-DATE,train
15,.,O,train
16,I,O,train
16,will,O,train
16,be,O,train
16,busy,O,train
16,during,O,train
16,the,O,train
16,first,O,train
16,week,O,train
16,of,O,train
16,July,B-DATE,train
16,.,O,train
17,She,O,valid
17,attended,O,valid
17,the,O,valid
17,conference,O,valid
17,last,O,valid
17,Saturday,B-DATE,valid
17,.,O,valid
18,Our,O,train
18,project,O,train
18,deadline,O,train
18,is,O,train
18,in,O,train
18,July,B-DATE,train
18,.,O,train
19,We’ll,O,valid
19,finalize,O,valid
19,the,O,valid
19,design,O,valid
19,by,O,valid
19,the,B-DATE,valid
19,end,I-DATE,valid
19,of,I-DATE,valid
19,this,I-DATE,valid
19,week,I-DATE,valid
19,.,O,valid
20,The,O,test
20,event,O,test
20,was,O,test
20,announced,O,test
20,on,O,test
20,May,B-DATE,test
20,12th,I-DATE,test
20,.,O,test
21,My,O,train
21,next,O,train
21,appointment,O,train
21,is,O,train
21,on,O,train
21,Wednesday,B-DATE,train
21,.,O,train
22,We,O,train
22,celebrated,O,train
22,her,O,train
22,birthday,O,train
22,in,O,train
22,December,B-DATE,train
22,2024,I-DATE,train
22,.,O,train
23,The,O,train
23,report,O,train
23,was,O,train
23,finalized,O,train
23,last,O,train
23,Friday,B-DATE,train
